Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Real Alcázar de Sevilla,1776038161-6,Civitatis,26/12/2025,No especificado,No especificado,Viajó en pareja,"Realmente espectacular.Muy recomendable,nuestra guia,,Eva,ha hecho una visita muy amena,se nos ha hecho corto,muchas ganas de comunicar de forma clara y amena Un duez",España,Residente,Comunidad de Madrid
Tour misterios y leyendas de Sevilla,1776039895-15,Civitatis,2/5/2025,No especificado,No especificado,Viajó en pareja,"De diez, el guía le pone mucho cariño a su trabajo.",España,Residente,Comunidad de Madrid
Tour La Giralda y Torre de Oro,1775824444-8,Civitatis,6/12/2025,No especificado,No especificado,Viajó en pareja,"Muy buen tour. Mariló fue una guía encantadora. Además, solo éramos 8 participantes y el tour fue prácticamente privado. Nos explicó el gran explendor de Sevilla a partir del descubrimiento de América y las diferentes historias de la ciudad. Un placer.",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775829092-18,Civitatis,7/1/2026,No especificado,No especificado,Viajó con hijos pequeños,Muy entretenido y didáctico,España,Residente,Comunidad de Madrid
Catedral de Sevilla,1776037952-5,Civitatis,29/04/2025,No especificado,No especificado,Viajó en pareja,"Nuestro guía Carlos muy profesional, hizo muy amena la visita. Sin duda repetiría",España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775829065-14,Civitatis,12/1/2026,No especificado,No especificado,Viajó solo,"Un freetour muy recomendable, didáctico y muy ameno. Con Daniel, el Guía, se hace todo muy divertido al igual que interesante.
Gracias.",España,Residente,Comunidad de Madrid
Catedral de Sevilla,1776037925-17,Civitatis,16/05/2025,No especificado,No especificado,Viajó en pareja,"Julian, muchas gracias por las explicaciones, muy ameno y recomendable. Una pena no haber podido invertir más tiempo en la catedral.",España,Residente,Comunidad Foral de Navarra
Barrio Santa Cruz,1776039109-13,Civitatis,13/02/2026,No especificado,No especificado,Viajó solo,"Muy bien, con bastantes curiosidades y detalles que la hacen más entretenida. Lo único mejorable sería el escuchar un poco más alto y claro al guía.",España,Residente,Galicia
Real Alcázar de Sevilla,1776038152-4,Civitatis,13/02/2026,No especificado,No especificado,Viajó en pareja,"Esta visita yo creo que estaba condenada desde que la reservamos. Primero nos cambian la hora de las 12,30 a las 13,30, teniendo que modificar otro compromiso que teniamos. Luego cambian el punto de reunion. Nosotros llegamos al sitio correcto con mas de media hora de adelanto. . No se para que. Al final salimos hacia el Alcazar tarde, porque faltaban el resto de gente, que por lo visto habian ido al punto de reunion incorrecto. La visita no llego a 50 minutos nedidos por reloj. MAL",España,Residente,Islas Canarias
Barrio Santa Cruz,1776039109-16,Civitatis,23/12/2025,No especificado,No especificado,Viajó solo,El guía Curro nos llevó por el barrio judío y nos aportó hechos históricos interesantes y leyendas entretenidas. Un chico muy simpático! Recomiendo esta visita ya que es básica para quien venga a Sevilla ya que solo se centra en la judería,España,Residente,No especificado
Free tour por Sevilla,1775828958-11,Civitatis,24/05/2025,No especificado,No especificado,No especificado,Gran trabajo de miguel!!!,España,Residente,No especificado
Free tour por Sevilla,1775828958-9,Civitatis,17/05/2025,No especificado,No especificado,Viajó en pareja,"Magnifica guia
																	Traducir la opinión a español",España,Residente,No especificado
"Tour por la Catedral, el Alcázar y la Giralda",1775828588-19,Civitatis,7/1/2025,No especificado,No especificado,Viajó en pareja,"Laura nos ha hecho la visita, que se extendió a más de 4 horas, superentretenida, muy amena y divertida. Se nota que le encanta la Historia y ha sido muy instructiva. Un 10 para ella. Al margen, hay que decir que Giralda, Catedral y Alcázares merecen una visita guiada sí o sí. Maravilloso patrimonio sevillano.",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1776038230-20,Civitatis,9/4/2026,No especificado,No especificado,Viajó en pareja,"Guía implicado y adaptándose a las circunstancias, recomendable. A mejorar, la ergonomía de los auriculares.",España,Residente,País Vasco
"Tour por la Catedral, el Alcázar y la Giralda",1775828422-16,Civitatis,23/01/2026,No especificado,No especificado,Viajó en pareja,"Tour para 5 personas de las cuales 3 llegaron tarde, habiendo quedado a las 14:15 para empezar la visita a las 14:30 se presentaron a las 14:45, con lo cual perdimos 6 minutos esperándolas más otros 15 minutos cuando ya empezada la visita avisaron a nuestro guía de qué habían aparecido y fue a buscarlas.
El resultado 20 minutos perdidos en nuestra visita a la Catedral con lo que nuestro tiempo de visita se redujo y al final fuimos a la carrera. 
El guía estupendo.",España,Residente,Cantabria
Free tour por Sevilla,1775829121-17,Civitatis,29/10/2025,No especificado,No especificado,Viajó con hijos pequeños,"Aarón, el guía, ha sido una maravilla. Ameno, didáctico, ha sabido captar nuestra atención en todo momento. Muy bien formado y preparado se nota que está enamorado de Sevilla y disfruta mostrando a los visitantes las maravillas de su ciudad. Muy recomendable. Muy buena organización y lo mejor el guía.",No especificado,No especificado,No aplica
Archivo de Indias,1776038484-13,Civitatis,4/11/2025,No especificado,No especificado,Viajó en pareja,"La visita es muy interesante y el guía, Rubén, cuenta todo de una forma amena. Recomiendo mucho esta visita.",España,Residente,Comunidad de Madrid
"Tour por la Catedral, el Alcázar y la Giralda",1775828480-12,Civitatis,5/3/2026,No especificado,No especificado,Viajó en pareja,"Hicimos el tour con un proveedor, todo fenomenal. La guía estuvo muy atenta e hizo la exposición del tour excelente.",España,Residente,Aragón
Free tour por Sevilla,1775829035-1,Civitatis,19/01/2026,No especificado,No especificado,Viajó con amigos,Nos encantó la visita.,España,Residente,País Vasco
Archivo de Indias,1776038548-7,Civitatis,23/03/2025,No especificado,No especificado,Viajó en pareja,"Fue magníficamente glosada la visita a este lugar.
Por otra parte Ruben tiene una dialéctica que se adapta estupendamente al público que le sigue.",España,Residente,Aragón
Palacio de Las Dueñas,1775826098-15,Civitatis,25/03/2025,No especificado,No especificado,Viajó en pareja,"Persona muy preparada, clara, concisa y sin vacilaciones.",España,Residente,Aragón
Barrio Santa Cruz,1776039155-14,Civitatis,29/03/2025,No especificado,No especificado,Viajó con hijos mayores,"Quiero hacer notar que esto es una crítica constructiva hacía Laura. Creo que si bien el tour no ha sido bueno podría mejorar mucho con pequeños cambios. En primer lugar manteniendo un tono más elevado de voz, bajando la velocidad y esperando a que todos los asistentes al tour han llegado a la parada de la que se está hablando. Creo que ordenando mejor el discurso y condensado la información juntando más información por parada mejoraría mucho. Por último, vigila las coletillas, distrae.",España,Residente,Comunidad Valenciana
Espectáculo de flamenco Museo del Baile Flamenco,1775816970-15,Civitatis,2/1/2025,No especificado,No especificado,Viajó con hijos mayores,Maravilloso. Gran nivel y muy ameno,España,Residente,Comunidad Valenciana
Real Alcázar de Sevilla,1776038161-1,Civitatis,28/12/2025,No especificado,No especificado,Viajó en pareja,"Víctor un diez, increíble recorrido con unas explicaciones amenas y excelentes, 100% recomendable.",España,Residente,Cataluña
Tour misterios y leyendas de Sevilla,1776039786-11,Civitatis,17/02/2026,No especificado,No especificado,Viajó con amigos,Maravillosa experiencia,España,Residente,No especificado
Tour misterios y leyendas de Sevilla,1776039585-15,Civitatis,29/01/2026,No especificado,No especificado,Viajó en pareja,Muy buena experiencia por los rincones de sevilla,España,Residente,Andalucía
Free tour por Sevilla,1775829150-6,Civitatis,17/05/2025,No especificado,No especificado,Viajó con amigos,"Sin duda uno de los mejores tour que me han hecho. Se nota que Antonio le pone pasión a lo que hace. Nos dio la información que necesitábamos para todo. No se hace nada pesado y eso que son 2 horas. Explicaciones buenas y concisas. Si queréis viajar a Sevilla, muy muy recomendado!",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828531-3,Civitatis,16/01/2026,No especificado,No especificado,Viajó en pareja,Para durar 3:30 no se ha hecho pesado. Muy interesante y ameno,España,Residente,No especificado
Free tour por Sevilla,1775829035-19,Civitatis,17/01/2026,No especificado,No especificado,Viajó en pareja,"Amena e interesante. Aunque me hubiese gustado que el grupo fuese más reducido, eramos unas 30 personas",España,Residente,País Vasco
Setas de Sevilla,1775818429-16,Civitatis,4/5/2025,No especificado,No especificado,Viajó en pareja,El bono que envía no funciona y tienes que ir en la taquilla,España,Residente,Comunidad de Madrid
Real Alcázar de Sevilla,1776038262-11,Civitatis,17/01/2026,No especificado,No especificado,Viajó con hijos mayores,"Visita muy entretenida, no hemos desconectado ni un solo segundo y todo muy bien explicado",España,Residente,Comunidad Foral de Navarra
Free tour por Sevilla,1775828743-4,Civitatis,25/03/2025,No especificado,No especificado,Viajó en pareja,"El tour fue muy completo y con muchos datos históricos y curiosos. Nuestro guía se llamaba Jose y lo hizo muy ameno y divertido, realizando incluso recomendaciones sobre qué visitar más allá del tour y donde comer de manera auténtica. Ha sido uno de los mejores tour que he hecho a través de civitatis.",España,Residente,No especificado
Barrio Santa Cruz,1776039083-20,Civitatis,15/07/2025,No especificado,No especificado,Viajó con hijos mayores,Guía simpática e interesante,España,Residente,Aragón
Barrio Santa Cruz,1776039052-10,Civitatis,23/10/2025,No especificado,No especificado,Viajó en pareja,"Hugo el guia muy Educado ,explica muy bien y ha sido una ruta muy entretenida.",España,Residente,Aragón
Parque María Luisa,1775826790-10,Civitatis,24/10/2025,No especificado,No especificado,Viajó en pareja,"La guia muy simpática y atenta ,se nota que le encanta la historia y el are nos a encantado mucho la excursión .",España,Residente,Aragón
Real Alcázar de Sevilla,1776038223-2,Civitatis,24/07/2025,No especificado,No especificado,Viajó con hijos mayores,"Maravillosa visita al Alcázar de Sevilla con Álvaro, un guía excelente que explicó cada rincón con pasión, historia y gran cercanía",España,Residente,País Vasco
